epoch,step,train/loss,trainer/lr,val/loss
,99,,1.9800000000000004e-05,
0,99,1113.2828369140625,,
,199,,3.9800000000000005e-05,
0,199,692.8903198242188,,
,299,,5.9800000000000003e-05,
0,299,670.289794921875,,
,399,,7.98e-05,
0,399,660.7302856445312,,
,499,,9.98e-05,
0,499,654.8143310546875,,
0,499,,,1.3334095478057861
